object name,RA (in degree),DEC (in degree),g magnitude,i magnitude,r magnitude
manga-8604-9102  ,246.45535,40.34521,17.690477334705584,16.7438939089175,17.250571212075133
manga-8606-12701 ,255.02988,37.8395,17.76116154237552,17.12717613502442,17.355460436134287
manga-8606-9102  ,255.70906,36.70675,14.638102027462496,16.25811966648962,16.74584716063135
manga-8611-12703 ,261.55725,62.14946,17.545485348015518,13.893595060400697,14.189143254923057
manga-8612-1901  ,253.46759,39.760162,17.28148284923985,16.76806120246747,16.929013688412233
manga-8613-12703 ,256.81775,34.822605,17.426699599383525,16.11416095635858,16.58445171204879
manga-8613-6102  ,255.6381,33.51664,17.578520904350434,16.131838004797462,16.51233099825334
manga-8614-12703 ,258.11853,35.884087,18.96751171634041,15.991784169517587,16.44081546648494
manga-8614-3703  ,257.00137,36.34442,17.822939820199547,16.342250292163747,16.790616539533005
manga-8615-12703 ,322.04858,0.29988483,18.115413840590996,17.392858862129472,17.88525279209854
manga-8615-12704 ,321.44315,0.93108016,17.446103475275134,16.65223058308892,17.09426313304113
manga-8615-3701  ,321.0079,-0.36632362,17.913385082531533,16.87630447589349,17.221902933260065
manga-8615-3703  ,320.82642,1.25498,15.022632767686224,16.07256757565913,16.580439032499612
manga-8616-6103  ,322.21234,1.2582695,19.099947112169687,16.94567261794708,17.31286901066461
manga-8616-9102  ,322.74945,-0.00059404527,18.891317749750122,14.461135439658836,15.034893981605592
manga-8619-12702 ,323.11594,10.13862,16.510925355218788,17.558424396553747,17.966986098134587
manga-8624-12701 ,259.1639,59.25371,17.108648345358304,17.217565782557674,17.809356549235407
manga-8624-12702 ,260.58173,59.076534,18.109297533309412,15.106034348301431,15.585331708190445
manga-8625-12704 ,258.84573,57.411182,18.026551993649058,17.704648749429108,18.158310148590132
manga-8626-12704 ,263.75522,57.052433,17.255381797556836,16.58762146139448,17.151682372577945
manga-8626-6101  ,263.0989,55.414677,19.097650547886275,16.863811935458415,17.474506799683695
manga-8651-1901  ,312.92313,0.8598728,18.501768472449847,16.2271092059442,16.70851626996445
